event_name,keywords
BostonMarathon,Boston Marathon + bombing + 2012
Bring Back Our Girls,Bring Back Our Girls + kidnap + 2014 + nigeria
Columbian Chemicals,Columbian Chemicals + explosion + 2014
Garissa_Attack,Garissa Attack + kenya + 2015
Hurricane Sandy,Hurricane Sandy + disaster + 2012
Livr,Livr app + hoax
Malaysia Airlines,Malaysia Airlines + flight 370 + 2014
Nepal_earthquake,Nepal earthquake + 2015
Passport,Passport story + child + fake
Pig Fish,Pig Fish fake
Rock Elephant,Rock Elephant fake
Samurai_ghost,samurai ghost + girl
Sochi Olympics,Sochi Olympics + fake + 2014
Solar_eclipse,Solar eclipse + artwork + fake + 2015
Syrian_boy,syrian boy + rescues sister
Underwater bedroom,Underwater hotel + design + prototype
Varoufakis_zdf,varoufakis and zdf  + video + english